Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2025|2025.05.17|Серф-Пикник 2025 #1|Владивосток, спот Патрокл|серфинг|длинная доска|мужчины|1|Константин Ременников|||Владивосток
2025|2025.05.17|Серф-Пикник 2025 #1|Владивосток, спот Патрокл|серфинг|длинная доска|мужчины|2|Александр Федосеенко|||Владивосток
2025|2025.05.17|Серф-Пикник 2025 #1|Владивосток, спот Патрокл|серфинг|длинная доска|мужчины|3|Сергей Барсуков|||Владивосток
2025|2025.05.17|Серф-Пикник 2025 #1|Владивосток, спот Патрокл|серфинг|длинная доска|мужчины|4|Андрей Череднеченко|||Владивосток
2025|2025.05.17|Серф-Пикник 2025 #1|Владивосток, спот Патрокл|серфинг|длинная доска|мужчины|5|Илья Германович|||Владивосток
2025|2025.05.17|Серф-Пикник 2025 #1|Владивосток, спот Патрокл|серфинг|длинная доска|мужчины|5|Александр Алеников|||Владивосток
2025|2025.05.17|Серф-Пикник 2025 #1|Владивосток, спот Патрокл|серфинг|длинная доска|мужчины|7|Станислав Дунда|||Владивосток
2025|2025.05.17|Серф-Пикник 2025 #1|Владивосток, спот Патрокл|серфинг|длинная доска|мужчины|7|Алексей Репьев|||Владивосток
2025|2025.05.17|Серф-Пикник 2025 #1|Владивосток, спот Патрокл|серфинг|длинная доска|мужчины|9|Сергей Горовой|||Владивосток
2025|2025.05.17|Серф-Пикник 2025 #1|Владивосток, спот Патрокл|серфинг|длинная доска|мужчины|9|Александр Гальчук|||Владивосток
