Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|round_name|heat_place|ФИО|Год рождения|Разряд|Регион
2025|2025.10.07-17|Чемпионат России|Зеленоградск|серфинг|длинная доска|мужчины|1|final|1|Илясов Дмитрий Александрович|1989|МС|Санкт-Петербург
2025|2025.10.07-17|Чемпионат России|Зеленоградск|серфинг|длинная доска|мужчины|2|final|2|Крысенков Глеб Юрьевич|1990|1|Санкт-Петербург
2025|2025.10.07-17|Чемпионат России|Зеленоградск|серфинг|длинная доска|мужчины|3|final|3|Багдасарян Максим Левонович|2008|1|Калининградская область
2025|2025.10.07-17|Чемпионат России|Зеленоградск|серфинг|длинная доска|мужчины|4|final|4|Исаков Евгений Леонидович|1983|МС|Калининградская область
2025|2025.10.07-17|Чемпионат России|Зеленоградск|серфинг|длинная доска|мужчины|5|semifinal|3|Новожилов Данила Вадимович|1988|3|Санкт-Петербург
2025|2025.10.07-17|Чемпионат России|Зеленоградск|серфинг|длинная доска|мужчины|5|semifinal|3|Шушаков Роман Евгеньевич|1995|2|Калининградская область
2025|2025.10.07-17|Чемпионат России|Зеленоградск|серфинг|длинная доска|мужчины|7|semifinal|4|Вахрушев Владимир Ильич|1994|1|Санкт-Петербург
2025|2025.10.07-17|Чемпионат России|Зеленоградск|серфинг|длинная доска|мужчины|7|semifinal|4|Бутусов Владимир|1986|3|Санкт-Петербург
2025|2025.10.07-17|Чемпионат России|Зеленоградск|серфинг|длинная доска|мужчины|9|quarterfinal|3|Трофимов Владимир Олегович|1985|2|Санкт-Петербург
2025|2025.10.07-17|Чемпионат России|Зеленоградск|серфинг|длинная доска|мужчины|9|quarterfinal|3|Каптелов Петр Валерьевич|1990|1|Калининградская область
2025|2025.10.07-17|Чемпионат России|Зеленоградск|серфинг|длинная доска|мужчины|9|quarterfinal|3|Комиссаров Никита Сергеевич|1986||Санкт-Петербург
2025|2025.10.07-17|Чемпионат России|Зеленоградск|серфинг|длинная доска|мужчины|9|quarterfinal|3|Черепенников Антон Олегович|1987|1|Краснодарский край
2025|2025.10.07-17|Чемпионат России|Зеленоградск|серфинг|длинная доска|мужчины|13|quarterfinal|4|Синица Петр Всеволодович|1985|1|Калининградская область
2025|2025.10.07-17|Чемпионат России|Зеленоградск|серфинг|длинная доска|мужчины|13|quarterfinal|4|Кортелев Федор Анатольевич|1992|3|Калининградская область
2025|2025.10.07-17|Чемпионат России|Зеленоградск|серфинг|длинная доска|мужчины|13|quarterfinal|4|Копров Павел Александрович|1990|1|Санкт-Петербург
2025|2025.10.07-17|Чемпионат России|Зеленоградск|серфинг|длинная доска|мужчины|13|quarterfinal|4|Коновалов Александр|1981|3|Мурманская область
2025|2025.10.07-17|Чемпионат России|Зеленоградск|серфинг|длинная доска|мужчины|17|round1|3|Блискунов Дмитрий Александрович|1990|3|Калининградская область
2025|2025.10.07-17|Чемпионат России|Зеленоградск|серфинг|длинная доска|мужчины|17|round1|3|Реут Алексей Валерьевич|1989|3|Калининградская область
2025|2025.10.07-17|Чемпионат России|Зеленоградск|серфинг|длинная доска|мужчины|17|round1|3|Шерстнев Анатолий Александрович|1991|3|Самарская область
2025|2025.10.07-17|Чемпионат России|Зеленоградск|серфинг|длинная доска|мужчины|17|round1|3|Михеев Павел Витальевич|1985|3|Краснодарский край
