Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2025|2025.08.16|Чемпионат Санкт-Петербурга|Санкт-Петербург|серфинг|длинная доска|мужчины|1|Вахрушев Владимир|||Санкт-Петербург
2025|2025.08.16|Чемпионат Санкт-Петербурга|Санкт-Петербург|серфинг|длинная доска|мужчины|2|Крысенков Глеб|||Санкт-Петербург
2025|2025.08.16|Чемпионат Санкт-Петербурга|Санкт-Петербург|серфинг|длинная доска|мужчины|3|Трофимов Владимир|||Санкт-Петербург
2025|2025.08.16|Чемпионат Санкт-Петербурга|Санкт-Петербург|серфинг|длинная доска|мужчины|4|Комиссаров Никита|||Санкт-Петербург
2025|2025.08.16|Чемпионат Санкт-Петербурга|Санкт-Петербург|серфинг|длинная доска|мужчины|5|Новожилов Данила|||Санкт-Петербург
2025|2025.08.16|Чемпионат Санкт-Петербурга|Санкт-Петербург|серфинг|длинная доска|мужчины|5|Екимовский Ярослав|||Санкт-Петербург
2025|2025.08.16|Чемпионат Санкт-Петербурга|Санкт-Петербург|серфинг|длинная доска|мужчины|7|Копров Павел|||Санкт-Петербург
2025|2025.08.16|Чемпионат Санкт-Петербурга|Санкт-Петербург|серфинг|длинная доска|мужчины|7|Кравченко Алексей|||Санкт-Петербург
2025|2025.08.16|Чемпионат Санкт-Петербурга|Санкт-Петербург|серфинг|длинная доска|мужчины|9|Бутусов Владимир|||Санкт-Петербург
2025|2025.08.16|Чемпионат Санкт-Петербурга|Санкт-Петербург|серфинг|длинная доска|мужчины|9|Порицкий Сергей|||Санкт-Петербург
2025|2025.08.16|Чемпионат Санкт-Петербурга|Санкт-Петербург|серфинг|длинная доска|мужчины|9|Смирнов Михаил|||Санкт-Петербург
2025|2025.08.16|Чемпионат Санкт-Петербурга|Санкт-Петербург|серфинг|длинная доска|мужчины|9|Козлов Антон|||Санкт-Петербург
2025|2025.08.16|Чемпионат Санкт-Петербурга|Санкт-Петербург|серфинг|длинная доска|мужчины|13|Шашерин Олег|||Санкт-Петербург
2025|2025.08.16|Чемпионат Санкт-Петербурга|Санкт-Петербург|серфинг|длинная доска|мужчины|13|Гончаров Иван|||Санкт-Петербург
2025|2025.08.16|Чемпионат Санкт-Петербурга|Санкт-Петербург|серфинг|длинная доска|мужчины|13|Гончаров Матвей|||Санкт-Петербург
2025|2025.08.16|Чемпионат Санкт-Петербурга|Санкт-Петербург|серфинг|длинная доска|мужчины|13|Диденко Павел|||Санкт-Петербург
