Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|round_name|round_place|ФИО|Год рождения|Разряд|Регион
2024|2024.08.29|Чемпионат Приморского края|Владивосток|серфинг|длинная доска|мужчины|1|final|1|Филинов Даниил|1985||Приморский край
2024|2024.08.29|Чемпионат Приморского края|Владивосток|серфинг|длинная доска|мужчины|2|final|2||||Приморский край
2024|2024.08.29|Чемпионат Приморского края|Владивосток|серфинг|длинная доска|мужчины|3|final|3||1991||Приморский край
2024|2024.08.29|Чемпионат Приморского края|Владивосток|серфинг|длинная доска|мужчины|4|final|4||||Приморский край
2024|2024.08.29|Чемпионат Приморского края|Владивосток|серфинг|длинная доска|мужчины|5|semifinal|||||Приморский край
2024|2024.08.29|Чемпионат Приморского края|Владивосток|серфинг|длинная доска|мужчины|5|semifinal|||||Приморский край
2024|2024.08.29|Чемпионат Приморского края|Владивосток|серфинг|длинная доска|мужчины|7|quarterfinal|3||||Приморский край
2024|2024.08.29|Чемпионат Приморского края|Владивосток|серфинг|длинная доска|мужчины|7|quarterfinal|3||||Приморский край
2024|2024.08.29|Чемпионат Приморского края|Владивосток|серфинг|длинная доска|мужчины|7|quarterfinal|3||||Приморский край
2024|2024.08.29|Чемпионат Приморского края|Владивосток|серфинг|длинная доска|мужчины|10|quarterfinal|4||||Приморский край
