Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2025|2025.08.29|Чемпионат Приморского края|Владивосток|серфинг|длинная доска|мужчины|1|Филинов Даниил|||Владивосток
2025|2025.08.29|Чемпионат Приморского края|Владивосток|серфинг|длинная доска|мужчины|2|Федосеенко Александр|||Владивосток
2025|2025.08.29|Чемпионат Приморского края|Владивосток|серфинг|длинная доска|мужчины|3|Жарченко Владислав|||Владивосток
2025|2025.08.29|Чемпионат Приморского края|Владивосток|серфинг|длинная доска|мужчины|4|Чередниченко Андрей|||Владивосток
2025|2025.08.29|Чемпионат Приморского края|Владивосток|серфинг|длинная доска|мужчины|5|Титовец Константин|||Владивосток
2025|2025.08.29|Чемпионат Приморского края|Владивосток|серфинг|длинная доска|мужчины|5|Степаненко Клим|||Владивосток
2025|2025.08.29|Чемпионат Приморского края|Владивосток|серфинг|длинная доска|мужчины|7|Чернышев Артем|||Владивосток
2025|2025.08.29|Чемпионат Приморского края|Владивосток|серфинг|длинная доска|мужчины|7|Дзыгарь Константин|||Владивосток
2025|2025.08.29|Чемпионат Приморского края|Владивосток|серфинг|длинная доска|мужчины|7|Рогожин Эрик|||Владивосток
2025|2025.08.29|Чемпионат Приморского края|Владивосток|серфинг|длинная доска|мужчины|10|Бондарченко Олег|||Владивосток
