Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2024|15.08.2024|Чемпионат России|Самара|серфинг|вейкским|мужчины|1|Кац Даниил Ефимович|2004|3|Саратовская область
2024|15.08.2024|Чемпионат России|Самара|серфинг|вейкским|мужчины|2|Данилов Сергей Михайлович|1978|МС|Московская область
2024|15.08.2024|Чемпионат России|Самара|серфинг|вейкским|мужчины|3|Горданов Степан Владимирович|1992|1|Москва
2024|15.08.2024|Чемпионат России|Самара|серфинг|вейкским|мужчины|4|Шамаханов Никита Александрович|1992|КМС|Санкт-Петербург
2024|15.08.2024|Чемпионат России|Самара|серфинг|вейкским|мужчины|5|Иванов Виталий Викторович|1985|КМС|Москва
2024|15.08.2024|Чемпионат России|Самара|серфинг|вейкским|мужчины|6|Ревун Илья Александрович|1979|КМС|Москва
2024|15.08.2024|Чемпионат России|Самара|серфинг|вейкским|мужчины|7|Соловьев Андрей Александрович|1985|1|Приморский край
2024|15.08.2024|Чемпионат России|Самара|серфинг|вейкским|мужчины|8|Клименко Игорь Владимирович|1989|3|Краснодарский край
2024|15.08.2024|Чемпионат России|Самара|серфинг|вейкским|мужчины|9|Прошин Игорь Витальевич|1988|2|Московская область
2024|15.08.2024|Чемпионат России|Самара|серфинг|вейкским|мужчины|10|Пернайцев Вадим Сергеевич|1987|2|Санкт-Петербург
2024|15.08.2024|Чемпионат России|Самара|серфинг|вейкским|мужчины|11|Коваленко Сергей Олегович|1993|3|Волгоградская область
2024|15.08.2024|Чемпионат России|Самара|серфинг|вейкским|мужчины|12|Андронов Евгений Геннадьевич|1991|3|Московская область
2024|15.08.2024|Чемпионат России|Самара|серфинг|вейкским|мужчины|13|Вадим Андрей Николаевич|1984|3|Самарская область
2024|15.08.2024|Чемпионат России|Самара|серфинг|вейкским|мужчины|14|Костенко Виктор Владимирович|1984|3|Саратовская область
2024|15.08.2024|Чемпионат России|Самара|серфинг|вейкским|мужчины|15|Акименко Александр Александрович|1992|3|Самарская область
2024|15.08.2024|Чемпионат России|Самара|серфинг|вейкским|мужчины|16|Семёнов Александр Юрьевич|1985|2|Санкт-Петербург
2024|15.08.2024|Чемпионат России|Самара|серфинг|вейкским|мужчины|17|Бочкарев Александр Александрович|1986|2|Самарская область
2024|15.08.2024|Чемпионат России|Самара|серфинг|вейкским|мужчины|18|Красинков Дмитрий Сергеевич|1988|3|Самарская область
