Год,Событие,Место проведения,Вид спорта,Дисциплина,Категория,Место,ФИО,Год рождения,Разряд,Регион
2024,Чемпионат России,Самара,серфинг,вейксерфинг,мужчины,1,Корольков Станислав Викторович,1986,КМС,Москва
2024,Чемпионат России,Самара,серфинг,вейксерфинг,мужчины,2,Данилов Сергей Михайлович,1978,МС,Московская область
2024,Чемпионат России,Самара,серфинг,вейксерфинг,мужчины,3,Пантелеев Александр Иванович,1997,3,Москва
2024,Чемпионат России,Самара,серфинг,вейксерфинг,мужчины,4,Соловьев Андрей Александрович,1985,1,Приморский край
2024,Чемпионат России,Самара,серфинг,вейксерфинг,мужчины,5,Горлов Анатолий Игоревич,1991,2,Москва
2024,Чемпионат России,Самара,серфинг,вейксерфинг,мужчины,6,Медведев Антон Игоревич,1989,3,Саратовская область
2024,Чемпионат России,Самара,серфинг,вейксерфинг,мужчины,7,Абросимов Геннадий Олегович,1993,2,Самарская область
2024,Чемпионат России,Самара,серфинг,вейксерфинг,мужчины,8,Карпов Сергей Валерьевич,1987,3,Волгоградская область
2024,Чемпионат России,Самара,серфинг,вейксерфинг,мужчины,9,Бахарев Максим Викторович,1990,3,Московская область
2024,Чемпионат России,Самара,серфинг,вейксерфинг,мужчины,10,Ермилов Николай Львович,1990,3,Свердловская область
2024,Чемпионат России,Самара,серфинг,вейксерфинг,мужчины,11,Турлычкин Дмитрий Владимирович,1992,3,Саратовская область
2024,Чемпионат России,Самара,серфинг,вейксерфинг,мужчины,12,Красников Дмитрий Сергеевич,1988,3,Самарская область
2024,Чемпионат России,Самара,серфинг,вейксерфинг,мужчины,13,Улиско Александр Викторович,1983,3,Московская область
2024,Чемпионат России,Самара,серфинг,вейксерфинг,мужчины,14,Рожнов Сергей Олегович,1989,2,Самарская область
2024,Чемпионат России,Самара,серфинг,вейксерфинг,мужчины,15,Кириллов Владислав Андреевич,1986,3,Самарская область
