Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2025|2025.09.18|Балтийский серф-контест #2|Калининградская область, Филинская бухта|серфинг|длинная доска|мужчины|1|Синица Пётр|||Калининградская область
2025|2025.09.18|Балтийский серф-контест #2|Калининградская область, Филинская бухта|серфинг|длинная доска|мужчины|2|Шушаков Роман|||Калининградская область
2025|2025.09.18|Балтийский серф-контест #2|Калининградская область, Филинская бухта|серфинг|длинная доска|мужчины|3|Кортелëв Фёдор|||Калининградская область
2025|2025.09.18|Балтийский серф-контест #2|Калининградская область, Филинская бухта|серфинг|длинная доска|мужчины|4|Каптелов Пётр|||Санкт-Петербург
2025|2025.09.18|Балтийский серф-контест #2|Калининградская область, Филинская бухта|серфинг|длинная доска|мужчины|5|Блискунов Дмитрий|||Калининградская область
2025|2025.09.18|Балтийский серф-контест #2|Калининградская область, Филинская бухта|серфинг|длинная доска|мужчины|6|Пономарёв Илья|||Калининградская область
2025|2025.09.18|Балтийский серф-контест #2|Калининградская область, Филинская бухта|серфинг|длинная доска|мужчины|7|Реут Алексей|||Санкт-Петербург
2025|2025.09.18|Балтийский серф-контест #2|Калининградская область, Филинская бухта|серфинг|длинная доска|мужчины|8|Болдырев Артём|||Калининградская область
2025|2025.09.18|Балтийский серф-контест #2|Калининградская область, Филинская бухта|серфинг|длинная доска|мужчины|9|Фукин Максим|||Калининградская область
2025|2025.09.18|Балтийский серф-контест #2|Калининградская область, Филинская бухта|серфинг|длинная доска|мужчины|10|Половиченко Илья|||Калининградская область
2025|2025.09.18|Балтийский серф-контест #2|Калининградская область, Филинская бухта|серфинг|длинная доска|мужчины|11|Александр Андреев|||Калининградская область
2025|2025.09.18|Балтийский серф-контест #2|Калининградская область, Филинская бухта|серфинг|длинная доска|мужчины|12|Нуждин Александр|||Калининградская область
