Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2025|2025.09.18|Балтийский серф-контест #2|Калининградская область, Филинская бухта|серфинг|длинная доска|мужчины|1|Синица Пётр|||Калининградская область
2025|2025.09.18|Балтийский серф-контест #2|Калининградская область, Филинская бухта|серфинг|длинная доска|мужчины|2|Шушаков Роман|||Калининградская область
2025|2025.09.18|Балтийский серф-контест #2|Калининградская область, Филинская бухта|серфинг|длинная доска|мужчины|3|Кортелëв Фёдор|||Калининградская область
2025|2025.09.18|Балтийский серф-контест #2|Калининградская область, Филинская бухта|серфинг|длинная доска|мужчины|4|Каптелов Пётр|||Калининградская область
2025|2025.09.18|Балтийский серф-контест #2|Калининградская область, Филинская бухта|серфинг|длинная доска|мужчины|5|Блискунов Дмитрий|||Калининградская область
2025|2025.09.18|Балтийский серф-контест #2|Калининградская область, Филинская бухта|серфинг|длинная доска|мужчины|5|Пономарёв Илья|||Калининградская область
2025|2025.09.18|Балтийский серф-контест #2|Калининградская область, Филинская бухта|серфинг|длинная доска|мужчины|7|Реут Алексей|||Калининградская область
2025|2025.09.18|Балтийский серф-контест #2|Калининградская область, Филинская бухта|серфинг|длинная доска|мужчины|7|Болдырев Артём|||Калининградская область
2025|2025.09.18|Балтийский серф-контест #2|Калининградская область, Филинская бухта|серфинг|длинная доска|мужчины|7|Фукин Максим|||Калининградская область
2025|2025.09.18|Балтийский серф-контест #2|Калининградская область, Филинская бухта|серфинг|длинная доска|мужчины|10|Половиченко Илья Артурович|1984||Калининградская область
2025|2025.09.18|Балтийский серф-контест #2|Калининградская область, Филинская бухта|серфинг|длинная доска|мужчины|10|Александр Андреев|||Калининградская область
2025|2025.09.18|Балтийский серф-контест #2|Калининградская область, Филинская бухта|серфинг|длинная доска|мужчины|10|Нуждин Александр|||Калининградская область
