Rank,Name,Sport Rank,Birth Year,Region,Category,2024,2025,Total Points
1,Вяткина Анна,,0,Сахалинская область,женщины,2440,4000,6440
2,Горанько Эвелина,,0,Камчатский край,женщины,4000,0,4000
3,Филинова Галина,,0,Приморский край,женщины,0,3120,3120
4,Мавричева Дарья,,0,Камчатский край,женщины,3120,0,3120
5,Недзельницкая Дарина,,0,,женщины,0,2440,2440
6,Грищенко Ева,,0,,женщины,0,2240,2240
7,Орлова Людмила,,0,,женщины,2240,0,2240
8,Гутова Оксана,,0,Сахалинская область,женщины,0,1900,1900
9,Силютина Алина,,1996,Приморский край,женщины,0,1900,1900
10,Шишкина Дарья,,0,,женщины,1900,0,1900
11,Якубовская Нина,3,1989,Приморский край,женщины,1900,0,1900
12,Осташко Вероника,,0,,женщины,0,1680,1680
13,Пономаренко Дарья,,0,,женщины,0,1680,1680
14,Петрова Анна,3,1982,Приморский край,женщины,1260,0,1260
15,Клюкина Регина,,0,,женщины,1060,0,1060
