Rank,Name,Sport Rank,Birth Year,Region,Category,2023,2024,2025,Total Points
1,Исаков Евгений,МС,1983,Калининградская область,мужчины,0,4680,6000,10680
2,Каптелов Петр,1,0,Калининградская область,мужчины,6000,0,3660,9660
3,Шушаков Роман,2,1995,Калининградская область,мужчины,3660,2400,3360,9420
4,Кортелев Федор,2,1992,Калининградская область,мужчины,4680,1890,2760,9330
5,Синица Петр,1,1985,Калининградская область,мужчины,0,6000,2400,8400
6,Багдасарян Максим,2,2008,Калининградская область,мужчины,0,3660,4680,8340
7,Михайлов Алексей,3,1997,Калининградская область,мужчины,3360,2760,0,6120
8,Истомин Максим,3,1995,Калининградская область,мужчины,2760,2760,0,5520
9,Богдалов Данил,3,2001,Калининградская область,мужчины,2760,1890,0,4650
10,Реут Алексей,3,1989,Калининградская область,мужчины,0,1728,2400,4128
11,Половиченко Илья,без разряда,1984,Калининградская область,мужчины,0,1890,1890,3780
12,Андреев Александр,без разряда,1982,Калининградская область,мужчины,0,1890,1890,3780
13,Малыхин Виктор,3,1985,Калининградская область,мужчины,2760,960,0,3720
14,Блискунов Дмитрий,без разряда,1990,Калининградская область,мужчины,0,1728,1890,3618
15,Перерва Вадим,без разряда,1985,Калининградская область,мужчины,0,3360,0,3360
16,Болдырев Артем,3,1981,Калининградская область,мужчины,0,0,2760,2760
17,Драпеза Олег,без разряда,0,Калининградская область,мужчины,2760,0,0,2760
18,Тихонов Андрей,3,1981,Калининградская область,мужчины,0,2400,0,2400
19,Емельянов Конастантин,без разряда,0,Калининградская область,мужчины,0,0,1890,1890
20,Дмитриев Илья,без разряда,1988,Калининградская область,мужчины,0,1728,0,1728
21,Корниенков Кирилл,без разряда,1991,Калининградская область,мужчины,0,1728,0,1728
22,Котов Денис,без разряда,1987,Калининградская область,мужчины,0,960,0,960
23,Орешкин Михаил,без разряда,1998,Калининградская область,мужчины,0,960,0,960
24,Чистяков Максим,без разряда,1989,Калининградская область,мужчины,0,0,0,0
25,Воронков Александр,без разряда,1986,Калининградская область,мужчины,0,0,0,0
26,Свинторжицкий Дмитрий,без разряда,1990,Калининградская область,мужчины,0,0,0,0
