Rank,Name,Sport Rank,Birth Year,Region,Category,2023,2024,2025,Total Points
1,Матвеева Анна,КМС,1985,Калининградская область,женщины,1560,2000,2000,5560
2,Тихонова Анна,КМС,1997,Калининградская область,женщины,2000,1560,1220,4780
3,Бланк Мария,3,1992,Калининградская область,женщины,1220,1220,1560,4000
4,Герасимова Екатерина,3,1986,Калининградская область,женщины,950,950,950,2850
5,Данькова Елизавета,б/р,2000,Калининградская область,женщины,950,1120,630,2700
6,Романовская Ева,3,2007,Калининградская область,женщины,0,950,1120,2070
7,Климова Наталья,б/р,0,Калининградская область,женщины,1120,0,0,1120
8,Гуслина Полина,,0,Калининградская область,женщины,0,0,950,950
9,Климова Мария,3,0,Калининградская область,женщины,950,0,0,950
10,Бороденкова Екатерина,б/р,0,Калининградская область,женщины,950,0,0,950
11,Иванова Екатерина,б/р,1992,Калининградская область,женщины,0,840,0,840
12,Матвеева Мария,б/р,1982,Калининградская область,женщины,0,840,0,840
13,Петрова Елизавета,б/р,0,Калининградская область,женщины,0,0,630,630
14,Шестакова Дари,б/р,0,Калининградская область,женщины,0,0,630,630
