Rank,Name,Sport Rank,Birth Year,Region,Category,2025,Total Points
1,Пташко Ксения,б/р,1986,Краснодарский край,женщины,1000,1000
2,Тимаревская Анастасия,,1986,Санкт-Петербург,женщины,1000,1000
3,Вяткина Анна,1,1997,Сахалинская область,женщины,1000,1000
4,Кузьмина Маргарита,2,1992,Краснодарский край,женщины,800,800
5,Терентьева Анастасия,,1994,Санкт-Петербург,женщины,800,800
6,Грищенко Ева,3,2006,Сахалинская область,женщины,800,800
7,Зубатова Ксения,б/р,1998,Краснодарский край,женщины,650,650
8,Рудик Майи,,1984,Санкт-Петербург,женщины,650,650
9,Недзельницкая Дарина,3,2010,Сахалинская область,женщины,650,650
10,Плеханова,,0,Краснодарский край,женщины,600,600
11,Пыжова Алена,,1988,Санкт-Петербург,женщины,600,600
12,Осташко Вероника,3,2009,Сахалинская область,женщины,600,600
13,Любешкина Дарья,2,1986,Краснодарский край,женщины,500,500
14,Зайцева,,0,Краснодарский край,женщины,500,500
15,Афанасьева Людмила,,0,Санкт-Петербург,женщины,500,500
16,Пирогова Мария,3,2009,Сахалинская область,женщины,500,500
17,Стародумова Диана,3,2010,Приморский край,женщины,500,500
18,Близниченко Виктория,,0,Санкт-Петербург,женщины,483,483
19,Симакова Юлия,б/р,1987,Краснодарский край,женщины,0,0
20,Эварестова Александра,б/р,1987,Краснодарский край,женщины,0,0
21,Буркова Дарина,б/р,1993,Краснодарский край,женщины,0,0
22,Тихолаз Ульяна,,1993,Санкт-Петербург,женщины,0,0
23,Жукова Алёна,,0,Санкт-Петербург,женщины,0,0
24,Шабалина Людмила,,1991,Санкт-Петербург,женщины,0,0
25,Новицкая Дарья,,0,Санкт-Петербург,женщины,0,0
26,Красненко Ксения,,0,Санкт-Петербург,женщины,0,0
