Rank,Name,Sport Rank,Birth Year,Region,Category,2024,2025,Total Points
1,Чудненко Анна,МС,1987,Санкт-Петербург,женщины,10000,10000,20000
2,Тихонова Анна,МС,1997,Калининградская область,женщины,6084,6084,12168
3,Тимаревская Анастасия,,1986,Санкт-Петербург,женщины,5584,5564,11148
4,Тихолаз Ульяна,1,1993,Санкт-Петербург,женщины,4014,4564,8578
5,Пташко Ксения,б/р,1986,Краснодарский край,женщины,4564,3880,8444
6,Болысова Елена,МС,1983,Москва,женщины,0,7800,7800
7,Тиманина Анжелика,1,1989,Москва,женщины,7800,0,7800
8,Вяткина Анна,1,1997,Сахалинская область,женщины,0,7584,7584
9,Пыжова Алена,,1988,Санкт-Петербург,женщины,2880,3480,6360
10,Горанько Эвелина,2,2007,Камчатский край,женщины,3150,3150,6300
11,Матвеева Анна,КМС,1985,Калининградская область,женщины,2948,3150,6098
12,Романовская Ева,3,2007,Калининградская область,женщины,2880,3150,6030
13,Кузьмина Маргарита,2,1992,Краснодарский край,женщины,3150,2400,5550
14,Зубатова Ксения,б/р,1998,Краснодарский край,женщины,3150,2250,5400
15,Недзельницкая Дарина,3,2010,Сахалинская область,женщины,0,5234,5234
16,Галимова Чулпан,КМС,1987,Республика Татарстан,женщины,4564,0,4564
17,Болгова Алиса,3,2011,Калининградская область,женщины,0,4014,4014
18,Кутьина Анна,3,1995,Севастополь,женщины,4014,0,4014
19,Терентьева Анастасия,,1994,Санкт-Петербург,женщины,0,3680,3680
20,Рудик Майи,,1984,Санкт-Петербург,женщины,2880,650,3530
21,Жукова Алена,3,1991,Санкт-Петербург,женщины,0,3150,3150
22,Бланк Мария,1,1992,Калининградская область,женщины,0,2880,2880
23,Мавричева Дарья,3,2007,Камчатский край,женщины,2880,0,2880
24,Любешкина Дарья,2,1986,Краснодарский край,женщины,1600,500,2100
25,Шабалина Людмила,3,1991,Санкт-Петербург,женщины,1600,0,1600
26,Грищенко Ева,3,2006,Сахалинская область,женщины,0,1560,1560
27,Осташко Вероника,3,2009,Сахалинская область,женщины,0,1120,1120
28,Пирогова Мария,3,2009,Сахалинская область,женщины,0,950,950
29,Стародумова Диана,3,2010,Приморский край,женщины,0,950,950
30,Плеханова,,0,Краснодарский край,женщины,0,600,600
31,Зайцева,,0,Краснодарский край,женщины,0,500,500
32,Афанасьева Людмила,,0,Санкт-Петербург,женщины,0,500,500
33,Близниченко Виктория,,0,Санкт-Петербург,женщины,0,483,483
