Rank,Name,Sport Rank,Birth Year,Region,Category,2019,2021,2022,2024,Total Points
1,Данилов Сергей,МС,1978,Московская область,мужчины,10000,10000,10000,13885,43885
2,Иванов Виталий,КМС,1985,Москва,мужчины,6085,7800,5685,12545,32115
3,Ревун Илья,КМС,1979,Москва,мужчины,7800,5685,7800,10430,31715
4,Кац Даниил,2,2004,Саратовская область,мужчины,0,0,0,20000,20000
5,Прошин Игорь,2,1988,Московская область,мужчины,0,0,4745,8065,12810
6,Кулагин Степан,2,1988,Санкт-Петербург,мужчины,0,6085,6085,0,12170
7,Шпильман Феликс,2 разряд,1985,Московская область,мужчины,5685,4745,0,0,10430
8,Горданов Степан,1,1992,Москва,мужчины,0,0,3320,6085,9405
9,Соловьев Андрей,1,1985,Приморский край,мужчины,0,4745,0,4545,9290
10,Шамаханов Никита,КМС,1992,Санкт-Петербург,мужчины,0,0,3320,5685,9005
11,Коваленко Сергей,3,1993,Волгоградская область,мужчины,0,0,0,8065,8065
12,Андронов Евгений,3,1991,Московская область,мужчины,0,0,0,7865,7865
13,Бочкарев Александр,2,1986,Самарская область,мужчины,0,0,4545,1900,6445
14,Мокробородов Юрий,2,1980,Московская область,мужчины,0,0,4745,0,4745
15,Клименко Игорь,3,1989,Краснодарский край,мужчины,0,0,0,4545,4545
16,Перняйнен Вадим,3,1987,Санкт-Петербург,мужчины,0,0,4545,0,4545
17,Пернайцев Вадим,2,1987,Санкт-Петербург,мужчины,0,0,0,3320,3320
18,Мазин Вячеслав,2,1986,Москва,мужчины,0,0,3320,0,3320
19,Петров Антон,2,1984,Московская область,мужчины,0,0,3320,0,3320
20,Вадим Андрей,3,1984,Самарская область,мужчины,0,0,0,3120,3120
21,Сладков Александр,1,1990,Московская область,мужчины,0,0,3120,0,3120
22,Костенко Виктор,3,1984,Саратовская область,мужчины,0,0,0,3120,3120
23,Акименко Александр,3,1992,Самарская область,мужчины,0,0,0,3120,3120
24,Семёнов Александр,2,1985,Санкт-Петербург,мужчины,0,0,0,3120,3120
25,Красинков Дмитрий,3,1988,Самарская область,мужчины,0,0,0,1900,1900
