Rank,Name,Sport Rank,Birthday,Region,Category,2022,2024,Total Points
1,Данилов Сергей,МС,1978,Московская область,мужчины,6400,7800,14200
2,Кап Даниил,3,2004,Саратовская область,мужчины,0,10000,10000
3,Ревун Илья,КМС,1979,Москва,мужчины,4992,4745,9737
4,Иванов Виталий,КМС,1985,Москва,мужчины,3638,4745,8383
5,Горданов Степан,1,1992,Москва,мужчины,2125,6085,8210
6,Шамаханов Никита,КМС,1992,Санкт-Петербург,мужчины,2125,5685,7810
7,Прошин Игорь,2,1988,Московская область,мужчины,3037,3320,6357
8,Бочкарев Александр,2,1986,Самарская область,мужчины,3037,1900,4937
9,Соловьев Андрей,1,1985,Приморский край,мужчины,0,4745,4745
10,Клименко Игорь,3,1989,Краснодарский край,мужчины,0,4745,4745
