Rank,Name,Sport Rank,Birth Year,Region,Category,2024,2025,Total Points
1,Филинова Галина,,1986,Приморский край,женщины,2000,1220,3220
2,Коровина Виктория,,1987,Приморский край,женщины,840,2000,2840
3,Силивончик Анастасия,,1994,Приморский край,женщины,1220,1560,2780
4,Кабаргина Кира,,1987,Приморский край,женщины,806,1120,1926
5,Ясинская Анна,,1990,Приморский край,женщины,950,840,1790
6,Ковалева Анастасия,,1983,Приморский край,женщины,1560,0,1560
7,Якубовская Нина,,1989,Приморский край,женщины,1120,0,1120
8,Чепугова Александра,,0,Приморский край,женщины,0,950,950
9,Силютина Алина,,1996,Приморский край,женщины,0,950,950
10,Петрова Анна,,1996,Приморский край,женщины,900,0,900
11,Бедиева Эльмира,,0,Приморский край,женщины,0,840,840
