Rank,Name,Sport Rank,Birthday,Region,Category,2023,2024,Total Points
1,Шушаков Роман,2,0,Калининградская область,мужчины,4368,5460,9828
2,Синица Петр,2,0,Калининградская область,мужчины,3408,4260,7668
3,Богдалов Данил,3,0,Калининградская область,мужчины,3183,3979,7162
4,Багдасарян Максим,3,2008,Калининградская область,мужчины,0,7000,7000
5,Булгаков Игорь,3,0,Калининградская область,мужчины,2658,3322,5980
6,Листопад Евгений,без разряда,0,Калининградская область,мужчины,2658,3322,5980
7,Коптелов Петр,2 разряд,0,Калининградская область,мужчины,5600,0,5600
8,Блискунов Дмитрий,без разряда,1990,Калининградская область,мужчины,0,3322,3322
9,Остапчук Иван,без разряда,2003,Калининградская область,мужчины,0,3322,3322
10,Фоблачев Тихон,без разряда,0,Калининградская область,мужчины,2658,0,2658
11,Аношкин Александр,без разряда,0,Калининградская область,мужчины,2658,0,2658
12,Кортелев Федор,3 разряд,0,Калининградская область,мужчины,2658,0,2658
13,Истомин Максим,3 разряд,0,Калининградская область,мужчины,2658,0,2658
14,Корниенков Кирилл,без разряда,1991,Калининградская область,мужчины,0,2324,2324
